city,display_name,oblast,exact_city_source,raion_source,city_alert_hours,raion_alert_hours,overlap_hours,city_only_hours,raion_only_hours,union_hours,city_time_covered_by_raion_pct,raion_time_matching_city_pct,jaccard_pct,raion_total_duration_bias_vs_city_pct,city_interval_count_after_merge,raion_interval_count_after_merge
kharkiv,Харків,Харківська область,м. Харків та Харківська територіальна громада,Харківський район,3294.136,3898.516,3270.97,23.166,627.545,3921.681,99.3,83.9,83.41,18.35,1880,1957
zaporizhzhia,Запоріжжя,Запорізька область,м. Запоріжжя та Запорізька територіальна громада,Запорізький район,2865.036,4892.27,2860.787,4.248,2031.483,4896.518,99.85,58.48,58.42,70.76,1251,1177
